%time,field.header.seq,field.header.stamp,field.value0,field.value1,field.value2,field.value3,field.value4,field.value5,field.value6,field.value7,field.value8,field.value9,field.value10,field.value11
10864000000,160,10864000000,1457,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10864000000,161,10864000000,1455,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10870000000,162,10870000000,1446,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10878000000,163,10878000000,1444,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10886000000,164,10886000000,1442,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10894000000,165,10894000000,1439,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10902000000,166,10902000000,1431,1715,1494,1500,1500,1000,1500,1500,1500,1000,1500,0
10966000000,167,10966000000,1431,1715,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
10974000000,168,10974000000,1431,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
10982000000,169,10982000000,1432,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
10990000000,170,10990000000,1434,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
10998000000,171,10998000000,1436,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11006000000,172,11006000000,1439,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11014000000,173,11014000000,1442,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11022000000,174,11022000000,1444,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11028000000,175,11028000000,1447,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11036000000,176,11036000000,1451,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11044000000,177,11044000000,1455,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11052000000,178,11052000000,1457,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11060000000,179,11060000000,1460,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11068000000,180,11068000000,1463,1714,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11076000000,181,11076000000,1463,1712,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11084000000,182,11084000000,1465,1712,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11092000000,183,11092000000,1468,1712,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11100000000,184,11100000000,1469,1712,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11108000000,185,11108000000,1472,1711,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11116000000,186,11116000000,1473,1711,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11174000000,187,11172000000,1473,1710,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11212000000,188,11212000000,1473,1708,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11220000000,189,11220000000,1473,1707,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11228000000,190,11228000000,1473,1704,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11236000000,191,11236000000,1474,1703,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11244000000,192,11244000000,1474,1702,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11252000000,193,11252000000,1476,1699,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11260000000,194,11260000000,1476,1696,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11268000000,195,11268000000,1476,1689,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11278000000,196,11276000000,1476,1687,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11284000000,197,11284000000,1476,1685,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11292000000,198,11292000000,1476,1682,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11302000000,199,11300000000,1476,1679,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11324000000,200,11324000000,1473,1677,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11332000000,201,11332000000,1472,1677,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11348000000,202,11348000000,1469,1677,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11360000000,203,11360000000,1468,1677,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11400000000,204,11396000000,1469,1675,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11406000000,205,11406000000,1472,1675,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11414000000,206,11414000000,1473,1675,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11422000000,207,11422000000,1476,1675,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11430000000,208,11430000000,1477,1674,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11438000000,209,11438000000,1480,1674,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11446000000,210,11446000000,1480,1673,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11454000000,211,11454000000,1481,1673,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11462000000,212,11462000000,1484,1673,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11470000000,213,11470000000,1484,1672,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11478000000,214,11478000000,1485,1672,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11486000000,215,11486000000,1487,1672,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11494000000,216,11494000000,1489,1672,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11502000000,217,11502000000,1489,1669,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11510000000,218,11510000000,1490,1669,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11518000000,219,11516000000,1493,1669,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11526000000,220,11526000000,1494,1669,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11540000000,221,11542000000,1497,1669,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11550000000,222,11548000000,1498,1669,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11556000000,223,11556000000,1500,1669,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11564000000,224,11564000000,1500,1668,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11572000000,225,11572000000,1500,1668,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11588000000,226,11588000000,1500,1666,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11604000000,227,11604000000,1500,1665,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11666000000,228,11666000000,1500,1664,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11728000000,229,11728000000,1500,1662,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11800000000,230,11800000000,1500,1661,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11828000000,231,11824000000,1500,1658,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11840000000,232,11840000000,1500,1656,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11872000000,233,11872000000,1500,1654,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11896000000,234,11896000000,1500,1653,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11936000000,235,11936000000,1500,1652,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
11998000000,236,11998000000,1500,1651,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12014000000,237,12014000000,1500,1648,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
